;Órden;Familia;Nombre Común;Nombre Inglés;Nombre Portugués;Nombre Científico;Registros
36;Columbiformes;Columbidae;Paloma Doméstica;Rock Dove;Pombo-doméstico;Columba livia;15
37;;;Paloma Trocal;Scaled Pigeon;Pomba-trocal;Patagioenas speciosa;5
38;;;Paloma Nuca Blanca;Southern Band-tailed Pigeon;Pomba-de-coleira-branca;Patagioenas albilinea;14
39;;;Paloma Colorada;Pale-vented Pigeon;Pomba-galega;Patagioenas cayennensis;18
40;;;Paloma Plomiza;Plumbeous Pigeon;Pomba-amargosa;Patagioenas plumbea;8
41;;;Paloma Vinosa;Ruddy Pigeon;Pomba-botafogo;Patagioenas subvinacea;11
42;;;Paloma Montera Castaña;Ruddy Quail-dove;Pariri;Geotrygon montana;1
43;;;Yerutí Común;White-tipped Dove;Juriti-pupu;Leptotila verreauxi;22
44;;;Yerutí Colorada;Grey-fronted Dove;Juriti-gemedeira;Leptotila rufaxilla;3
45;;;Paloma Montaraz Pálida;Pallid Dove;;Leptotila pallida;2
46;;;Paloma Montera Grande;White-throated Quail-dove;;Zentrygon frenata;1
47;;;Torcaza Ala Blanca;West Peruvian Dove;;Zenaida meloda;5
48;;;Paloma de Galápagos;Galapagos Dove;;Zenaida galapagoensis;20
49;;;Torcaza Común;Eared Dove;Avoante;Zenaida auriculata;21
50;;;Torcacita Enana;Plain-breasted Ground-dove;Rolinha-de-asa-canela;Columbina minuta;1
51;;;Columbina Ecuatoriana;Ecuadorian Ground-dove;;Columbina buckleyi;24
52;;;Torcacita Colorada;Ruddy Ground-dove;Rolinha-roxa;Columbina talpacoti;5
53;;;Tortolita Peruana;Croaking Ground-dove;;Columbina cruziana;15
54;;;Palomita Azulada;Blue Ground-dove;Pararu-azul;Claravis pretiosa;3
55;;;Palomita Cordillerana;Black-winged Ground-dove;;Metriopelia melanoptera;1
56;Caprimulgiformes;Steatornithidae;Guácharo;Oilbird;Guácharo;Steatornis caripensis;4
57;;Nyctibiidae;;;;Nyctibius sp.;1
58;;;Nictibio Grande;Great Potoo;Mãe-da-lua-gigante;Nyctibius grandis;2
59;;;Urutaú Común;Common Potoo;Urutau;Nyctibius griseus;9
60;;Caprimulgidae;Añapero Chico;Lesser Nighthawk;Bacurau-de-asa-fina;Chordeiles acutipennis;2
61;;;Añapero Ventrirrufo;Rufous-bellied Nighthawk;;Lurocalis rufiventris;1
62;;;Chotacabras Negruzco;Blackish Nightjar;;Nyctipolus nigrescens;1
63;;;Atajacaminos Ñañarca;Greater Band-winged Nightjar;;Systellura longirostris;3
64;;;Curiango;Pauraque;Bacurau;Nyctidromus albicollis;9
65;;;Atajacaminos Lira;Lyre-tailed Nightjar;;Uropsalis lyra;5
66;;Apodidae;Vencejo Cuellirrojo;Chestnut-collared Swift;;Streptoprocne rutila;4
67;;;Vencejo de Collar;White-collared Swift;Taperuçu-de-coleira-branca;Streptoprocne zonaris;10
68;;;Vencejo Chico;Grey-rumped Swift;Andorinhão-de-sobre-cinzento;Chaetura cinereiventris;3
69;;;Vencejo Rabón;Short-tailed Swift;Andorinhão-de-rabo-curto;Chaetura brachyura;4
70;;;Vencejo de las Palmeras;Fork-tailed Palm-swift;Andorinhão-do-buriti;Tachornis squamata;1
71;;;Vencejo Tijereta;Lesser Swallow-tailed Swift;Andorinhão-estofador;Panyptila cayennensis;2
72;;Trochilidae;Topacio Candela de Cola Morada;Fiery Topaz;Topázio-de-fogo;Topaza pyra;1
73;;;Colibrí Nuca Blanca;White-necked Jacobin;Beija-flor-azul-de-rabo-branco;Florisuga mellivora;20
74;;;Ermitaño Canelo;Rufous-breasted Hermit;Balança-rabo-de-bico-torto;Glaucis hirsutus;1
75;;;Ermitaño de Yaruqui;White-whiskered Hermit;;Phaethornis yaruqui;11
76;;;Ermitaño Verde;Green Hermit;;Phaethornis guy;5
77;;;Ermitaño Ventrihabano;Tawny-bellied Hermit;;Phaethornis syrmatophorus;7
78;;;Ermitaño Picogrande;Great-billed Hermit;Besourão-de-bico-grande;Phaethornis malaris;1
79;;;Ermitaño Barbigrís;Grey-chinned Hermit;;Phaethornis griseogularis;1
80;;;Colibrí Picolanza Mayor;Green-fronted Lancebill;;Doryfera ludovicae;3
81;;;;Western Wedge-billed Hummingbird;;Schistes albogularis;1
82;;;;Eastern Wedge-billed Hummingbird;;Schistes geoffroyi;3
83;;;Colibrí Grande;Sparkling Violet-ear;Beija-flor-violeta;Colibri coruscans;28
84;;;Colibrí Pardo;Brown Violet-ear;Beija-flor-marrom;Colibri delphinae;19
85;;;Colibrí Chico;Green Violet-ear;;Colibri thalassinus;6
86;;;Colibrí Picopunzón;Purple-crowned Fairy;;Heliothryx barroti;2
87;;;Picaflor Vientre Negro;Black-throated Mango;Beija-flor-de-veste-preta;Anthracothorax nigricollis;3
88;;;Angel Gorgiamatista;Amethyst-throated Sunangel;;Heliangelus amethysticollis;2
89;;;Colibrí Pectoral;Gorgeted Sunangel;;Heliangelus strophianus;7
90;;;Angel gorgiturmalina;Tourmaline Sunangel;;Heliangelus exortis;3
91;;;;Little Sunangel;;Heliangelus micraster;1
92;;;;Wire-crested Thorntail;;Discosura popelairii;6
93;;;Rabudito Verde;Green Thorntail;;Discosura conversii;12
94;;;Coqueta Coronada;Spangled Coquette;;Lophornis stictolophus;1
95;;;Colibrí Colipinto Ecuatoriano;Ecuadorian Piedtail;;Phlogophilus hemileucurus;1
96;;;Picaflor Yungueño;Speckled Hummingbird;;Adelomyia melanogenys;11
97;;;Silfo Coliverde;Long-tailed Sylph;;Aglaiocercus kingii;7
98;;;Silfo Celeste;Violet-tailed Sylph;;Aglaiocercus coelestis;15
99;;;Colibrí del Chimborazo;Ecuadorian Hillstar;;Oreotrochilus chimborazo;6
100;;;Cometa Colinegro;Black-tailed Trainbearer;;Lesbia victoriae;11
101;;;Cometa Coliverde;Green-tailed Trainbearer;;Lesbia nuna;1
102;;;Colibrí Capirrufo;Rufous-capped Thornbill;;Chalcostigma ruficeps;1
103;;;Colibrí de Stanley;Blue-mantled Thornbill;;Chalcostigma stanleyi;1
104;;;Colibrí de Herrán;Rainbow-bearded Thornbill;;Chalcostigma herrani;1
105;;;Metalura Colirroja;Tyrian Metaltail;;Metallura tyrianthina;11
106;;;Metalura Verde;Viridian Metaltail;;Metallura williami;3
107;;;Calzadito Colilargo Norteño;Sapphire-vented Puffleg;;Eriocnemis luciani;3
108;;;Colibrí Paramuno;Shining Sunbeam;;Aglaeactis cupripennis;5
109;;;Inca Bronceado;Bronzy Inca;;Coeligena coeligena;1
110;;;Inca Pardo;Brown Inca;;Coeligena wilsoni;9
